,word,frequency,per_million,doc_freq,doc_percentage
315,emotional,109,38.20167541,96,1.158580739
321,nearby,107,37.50072723,104,1.255129133
324,constitutional,106,37.15025315,83,1.001689597
325,individual,105,36.79977906,95,1.146512189
326,post,105,36.79977906,99,1.194786387
327,welcome,104,36.44930497,103,1.243060584
328,cyber,104,36.44930497,59,0.712044412
329,solar,104,36.44930497,71,0.856867005
330,fifth,103,36.09883089,91,1.098237992
331,dramatic,103,36.09883089,91,1.098237992
334,contagious,101,35.39788272,83,1.001689597
336,technical,101,35.39788272,83,1.001689597
337,agricultural,101,35.39788272,67,0.808592807
338,near,100,35.04740863,96,1.158580739
341,giant,100,35.04740863,92,1.110306541
342,clinical,99,34.69693454,72,0.8689355540000001
344,FALSE,98,34.34646046,77,0.929278301
349,permanent,98,34.34646046,79,0.953415399
350,inclusive,98,34.34646046,73,0.881004103
351,heather,98,34.34646046,66,0.7965242579999999
353,pregnant,97,33.99598637,63,0.76031861
354,retail,97,33.99598637,75,0.905141202
355,upcoming,97,33.99598637,93,1.1223750909999999
356,vital,97,33.99598637,95,1.146512189
357,minimum,96,33.64551228,62,0.74825006
359,immune,96,33.64551228,75,0.905141202
361,actual,95,33.2950382,89,1.074100893
362,complex,94,32.94456411,88,1.0620323440000001
364,grand,94,32.94456411,70,0.844798455
366,intense,93,32.59409003,83,1.001689597
367,broad,93,32.59409003,89,1.074100893
368,holy,92,32.24361594,68,0.820661357
369,intensive,92,32.24361594,80,0.965483949
371,complicated,91,31.89314185,83,1.001689597
372,multi,90,31.54266777,84,1.013758146
373,very,90,31.54266777,89,1.074100893
374,liberal,90,31.54266777,64,0.7723871590000001
376,imperial,90,31.54266777,49,0.591358919
377,vast,89,31.19219368,86,1.037895245
378,fake,89,31.19219368,60,0.7241129620000001
379,maximum,89,31.19219368,82,0.989621048
380,overseas,89,31.19219368,79,0.953415399
381,sharp,88,30.84171959,83,1.001689597
382,aggressive,88,30.84171959,78,0.94134685
384,operational,88,30.84171959,80,0.965483949
385,maritime,88,30.84171959,54,0.651701665
387,migrant,87,30.49124551,56,0.6758387640000001
388,mixed,87,30.49124551,74,0.8930726529999999
390,hopeful,86,30.14077142,76,0.9172097509999999
393,urban,86,30.14077142,66,0.7965242579999999
395,capable,85,29.79029734,71,0.856867005
396,tessa,84,29.43982325,44,0.5310161720000001
397,comprehensive,84,29.43982325,76,0.9172097509999999
398,sensitive,84,29.43982325,77,0.929278301
399,tropical,83,29.08934916,53,0.6396331160000001
401,formal,83,29.08934916,69,0.832729906
402,lebanese,83,29.08934916,34,0.41033067799999995
404,turkish,82,28.73887508,41,0.494810524
405,syrian,82,28.73887508,43,0.518947622
406,mild,81,28.38840099,73,0.881004103
407,optimistic,81,28.38840099,74,0.8930726529999999
408,spanish,81,28.38840099,52,0.6275645670000001
409,affected,80,28.0379269,74,0.8930726529999999
410,concrete,80,28.0379269,69,0.832729906
412,territorial,80,28.0379269,60,0.7241129620000001
413,secret,79,27.68745282,65,0.784455708
414,ordinary,79,27.68745282,70,0.844798455
415,equal,79,27.68745282,73,0.881004103
416,secure,78,27.33697873,73,0.881004103
417,naval,78,27.33697873,48,0.579290369
418,u.s,77,26.98650464,72,0.8689355540000001
420,historical,77,26.98650464,67,0.808592807
421,collective,77,26.98650464,67,0.808592807
424,honest,75,26.28555647,72,0.8689355540000001
426,prominent,74,25.93508239,68,0.820661357
429,pcr,74,25.93508239,51,0.615496017
431,outdoor,73,25.584608300000003,60,0.7241129620000001
433,shocking,72,25.23413421,63,0.76031861
434,dire,72,25.23413421,70,0.844798455
436,christian,72,25.23413421,50,0.603427468
437,brutal,72,25.23413421,65,0.784455708
438,variant,71,24.88366013,62,0.74825006
439,wealthy,71,24.88366013,52,0.6275645670000001
440,transmissible,71,24.88366013,57,0.687907314
441,harsh,71,24.88366013,64,0.7723871590000001
443,corporate,71,24.88366013,53,0.6396331160000001
444,overwhelmed,70,24.53318604,66,0.7965242579999999
445,toxic,70,24.53318604,51,0.615496017
446,metropolitan,70,24.53318604,54,0.651701665
447,dominic,69,24.18271195,33,0.39826212899999996
448,tragic,69,24.18271195,60,0.7241129620000001
449,marine,69,24.18271195,58,0.6999758629999999
450,cautious,69,24.18271195,63,0.76031861
452,absolute,69,24.18271195,62,0.74825006
455,outside,68,23.83223787,65,0.784455708
456,accountable,68,23.83223787,58,0.6999758629999999
458,ultra,68,23.83223787,50,0.603427468
460,viral,67,23.48176378,59,0.712044412
464,innocent,67,23.48176378,58,0.6999758629999999
466,ukrainian,67,23.48176378,38,0.458604876
467,asean,67,23.48176378,32,0.38619358
468,polish,66,23.1312897,34,0.41033067799999995
470,calm,65,22.78081561,64,0.7723871590000001
471,parliamentary,65,22.78081561,55,0.663770215
473,legislative,64,22.43034152,53,0.6396331160000001
475,memorial,64,22.43034152,47,0.56722182
476,mutual,64,22.43034152,56,0.6758387640000001
477,cross,64,22.43034152,57,0.687907314
479,diverse,63,22.07986744,52,0.6275645670000001
481,tense,62,21.72939335,57,0.687907314
482,male,61,21.37891926,55,0.663770215
483,interim,61,21.37891926,45,0.543084721
484,racial,61,21.37891926,45,0.543084721
485,sixth,61,21.37891926,57,0.687907314
486,constant,61,21.37891926,59,0.712044412
487,keen,61,21.37891926,58,0.6999758629999999
488,transparent,61,21.37891926,51,0.615496017
489,numerous,60,21.02844518,58,0.6999758629999999
490,alarming,60,21.02844518,53,0.6396331160000001
491,dominant,60,21.02844518,53,0.6396331160000001
492,determined,60,21.02844518,58,0.6999758629999999
493,coastal,60,21.02844518,52,0.6275645670000001
494,ukraine,60,21.02844518,43,0.518947622
495,ambitious,60,21.02844518,53,0.6396331160000001
496,accessible,59,20.67797109,54,0.651701665
497,challenging,59,20.67797109,55,0.663770215
498,firm,58,20.32749701,57,0.687907314
499,sarah,58,20.32749701,35,0.42239922799999996
501,trump,58,20.32749701,45,0.543084721
502,homeless,58,20.32749701,30,0.36205648100000004
503,volcanic,58,20.32749701,43,0.518947622
504,accurate,58,20.32749701,49,0.591358919
505,exact,58,20.32749701,53,0.6396331160000001
506,mexican,57,19.97702292,40,0.48274197399999996
508,consecutive,57,19.97702292,56,0.6758387640000001
509,affordable,57,19.97702292,45,0.543084721
510,sufficient,57,19.97702292,52,0.6275645670000001
512,pakistani,57,19.97702292,31,0.37412503
513,bipartisan,56,19.62654883,39,0.470673425
514,half,56,19.62654883,55,0.663770215
516,overwhelming,56,19.62654883,53,0.6396331160000001
519,fiscal,56,19.62654883,43,0.518947622
520,horrific,55,19.27607475,47,0.56722182
521,chaotic,55,19.27607475,53,0.6396331160000001
522,solid,55,19.27607475,52,0.6275645670000001
