,gram,freq,doc_freq,ttr_s1,norm_ent_s1
611,the world health organization,143,122,,
613,and it is,142,134,,
615,new york city,142,98,,
618,to get a,142,132,,
622,will be the,141,133,,
623,ahead of the,140,127,,
624,and we have,140,136,,
625,on the #th,140,131,,
628,u s president joe biden,140,131,,
630,on top of,139,129,,
631,that it will,139,132,,
632,of them are,138,132,,
633,on the streets,138,117,,
635,age of #,137,117,,
636,side of the,137,121,,
638,the middle of,137,134,,
639,they will be,137,129,,
642,as you mentioned,136,118,,
643,of the coronavirus,136,131,,
644,on social media,136,116,,
645,seems to be,136,127,,
647,those who are,136,125,,
648,at a time,135,126,,
649,it would be,135,129,,
650,more than # percent,135,122,,
651,and it was,134,126,,
653,you know i,134,121,,
654,are trying to,133,117,,
655,at the end of the,133,121,,
657,the omicron variant,133,95,,
659,i would say,132,104,,
662,tens of thousands,132,120,,
663,to # percent,132,122,,
664,to get vaccinated,132,111,,
667,all over the,131,114,,
668,don t want to,131,115,,
669,president of the,131,107,,
670,the age of #,131,112,,
671,the importance of,131,118,,
672,to make the,131,124,,
676,a group of,129,117,,
677,during the pandemic,129,120,,
678,go to the,129,123,,
679,head of the,129,116,,
680,many of them,129,119,,
681,a look at,128,121,,
682,is on the,128,125,,
685,as well as the,127,124,,
688,one of them,127,123,,
689,the start of the,127,122,,
690,is not the,126,124,,
692,to say that,126,120,,
694,for them to,125,123,,
695,is not a,125,117,,
696,of the united states,125,100,,
697,secretary of state,125,109,,
698,will also be,125,118,,
699,but i think,124,117,,
701,of the covid,124,117,,
702,that has been,124,118,,
703,there s a lot,124,116,,
704,a long time,123,116,,
705,in hong kong,123,62,,
706,of the vaccine,123,99,,
707,kim jong un,122,71,,
708,that they will,122,117,,
709,the united kingdom,122,99,,
710,want to be,122,116,,
711,we don t have,122,110,,
712,of this year,121,112,,
713,the people who,121,113,,
714,the south korean,121,95,,
715,to make a,121,116,,
716,a total of,120,116,,
717,if it s,120,106,,
718,is something that,120,106,,
719,many of the,120,118,,
720,of the day,120,111,,
721,that he was,120,105,,
722,we are not,120,107,,
723,number of people,119,110,,
726,you look at,119,107,,
727,but it is,118,113,,
728,has to be,118,106,,
729,is in the,118,114,,
730,is part of,118,114,,
731,of course the,118,111,,
732,some of these,118,111,,
734,the two countries,118,96,,
735,they have been,118,112,,
738,the tokyo olympics,117,108,,
739,we are going to,117,98,,
740,of the new,116,112,,
742,the spread of the,116,110,,
744,a result of,115,111,,
745,expected to be,115,113,,
746,go back to,115,107,,
747,of the country s,115,112,,
748,they have to,115,104,,
749,to be in,115,112,,
750,up to the,115,112,,
751,was one of,115,110,,
752,we re talking about,115,90,,
753,i have to,114,101,,
755,of the u s,114,107,,
756,this is the first,114,109,,
758,they need to,113,93,,
759,to do it,113,103,,
760,updates on the,113,113,,
761,you know what,113,99,,
762,about # percent,112,99,,
763,on the #th of,112,106,,
765,that the government,112,105,,
766,the coronavirus pandemic,112,105,,
767,the issue of,112,98,,
768,the so called,112,104,,
769,there has been,112,106,,
770,this kind of,112,99,,
771,to do so,112,107,,
772,were able to,112,97,,
773,a series of,111,108,,
774,but there are,111,107,,
776,more and more,111,101,,
777,s not just,111,107,,
778,the government to,111,103,,
779,there are no,111,107,,
780,a few days,110,108,,
781,a state of emergency,110,92,,
782,chairman of the,110,91,,
783,for more on,110,110,,
784,have been killed,110,104,,
786,more than two,110,108,,
787,there s also,110,102,,
788,this is an,110,105,,
789,to the u s,110,104,,
791,all of us,109,104,,
792,in the south,109,98,,
793,said that it,109,98,,
794,the death of,109,90,,
795,the risk of,109,100,,
796,# new cases,108,99,,
797,# percent in,108,101,,
798,a lot more,108,100,,
799,for the first time in,108,104,,
800,for the next,108,103,,
801,for those who,108,103,,
802,it was the,108,106,,
803,than # percent of,108,98,,
804,the ministry of,108,94,,
805,to have to,108,94,,
806,we are now,108,108,,
808,which is the,108,103,,
809,in the #s,107,94,,
810,more on this,107,107,,
811,the country has,107,101,,
812,to get to,107,99,,
813,what is the,107,95,,
814,a matter of,106,102,,
821,tens of thousands of,106,97,,
827,but this is,105,103,,
828,i m going to,105,92,,
830,one is now,105,105,,
831,parts of the country,105,102,,
835,they say they,105,91,,
836,as long as,104,99,,
837,as much as,104,100,,
838,back in #,104,94,,
839,in the middle of,104,104,,
841,it s not just,104,100,,
842,one of those,104,101,,
843,the trump administration,104,87,,
844,trying to get,104,94,,
845,who have been,104,100,,
846,a part of,103,102,,
847,be allowed to,103,96,,
848,don t know what,103,97,,
853,the head of the,103,94,,
854,the state government,103,79,,
855,to do with,103,96,,
856,to take a,103,101,,
857,able to get,102,94,,
859,be the first,102,94,,
860,end of this,102,99,,
861,i think this,102,97,,
864,there are a,102,99,,
865,was able to,102,99,,
868,you know it s,102,96,,
870,a time when,101,98,,
871,are on the,101,101,,
872,as you can,101,91,,
873,do you think,101,91,,
875,in the #,101,92,,
876,it could be,101,92,,
877,so much for,101,95,,
879,that the u s,101,93,,
880,the most important,101,97,,
882,to make it,101,96,,
883,was the first,101,99,,
884,say that the,100,98,,
885,they are not,100,91,,
886,um you know,100,85,,
887,we have the,100,90,,
890,and there is,99,98,,
891,going to get,99,92,,
892,in the meantime,99,95,,
893,is trying to,99,95,,
894,of the national,99,84,,
896,the japanese government,99,92,,
898,there s a lot of,99,94,,
899,to the world,99,88,,
900,to work with,99,91,,
901,you have a,99,91,,
902,# people have been,98,91,,
903,an end to,98,89,,
905,as a result of,98,94,,
909,there are some,98,94,,
910,we have seen,98,84,,
911,are in the,97,94,,
913,for # years,97,91,,
914,has not been,97,92,,
916,the end of this,97,94,,
917,the fight against,97,86,,
918,the other hand,97,92,,
919,the president of,97,82,,
920,whether or not,97,89,,
921,you tell us,97,93,,
922,# people were,96,87,,
923,all the way,96,86,,
924,also said that,96,87,,
925,and the u s,96,85,,
926,but you know,96,90,,
927,going to be a,96,93,,
928,in the morning,96,94,,
929,it s going to be,96,84,,
931,million doses of,96,79,,
932,of the party,96,49,,
933,people who have,96,93,,
934,said that he,96,91,,
935,supposed to be,96,91,,
936,that there was,96,93,,
937,the past #,96,92,,
938,those who have,96,94,,
939,to get out,96,84,,
940,to look at,96,89,,
941,up in the,96,94,,
942,you know that,96,88,,
943,you want to,96,83,,
944,come up with,95,90,,
946,in the last #,95,86,,
947,of people who,95,91,,
951,this is going,95,85,,
952,this is something,95,82,,
953,to come to,95,90,,
955,to do that,95,93,,
957,which is a,95,90,,
958,would like to,95,91,,
